,PM2.5,PM10,NO2,SO2,NH3,CO,Ozone,SO2i,NOi,PM25i,PM10i,Ozonei,NH3i,COi,AQI,AQI_Range
3511,134.88,274.35,69.04,32.6,34.01,0.9,75.88,40.75,86.30000000000001,311.44615384615383,294.35,75.88,8.5025,45.0,311.44615384615383,Very poor
3512,171.15,333.44,87.8,39.66,35.04,1.1,76.08,49.574999999999996,107.8,339.34615384615387,353.44,76.08,8.76,55.00000000000001,353.44,Very poor
3513,93.85,245.81,60.51,26.5,24.92,0.7,90.07,33.125,75.63749999999999,212.83333333333331,265.81,90.07,6.23,35.0,265.81,Poor
3514,67.56,269.33,71.83,23.09,22.22,0.65,81.46,28.8625,89.7875,125.20000000000002,289.33,81.46,5.555,32.5,289.33,Poor
3515,115.65,302.9,103.48,39.75,29.61,1.12,71.43,49.6875,123.48,285.5,322.9,71.43,7.4025,56.00000000000001,322.9,Very poor
3516,70.81,267.67,83.48,18.29,21.91,0.62,56.68,22.862499999999997,103.48,136.03333333333336,287.67,56.68,5.4775,31.0,287.67,Poor
3517,58.55,234.57,58.52,23.27,22.72,0.57,76.37,29.0875,73.15,97.58333333333333,254.57,76.37,5.68,28.499999999999996,254.57,Poor
3518,83.77,255.32,72.46,31.17,25.92,0.76,70.09,38.962500000000006,90.57499999999999,179.23333333333332,275.32,70.09,6.48,38.0,275.32,Poor
3519,67.97,282.32,77.89,19.81,28.9,0.7,55.58,24.7625,97.3625,126.56666666666666,302.32,55.58,7.225,35.0,302.32,Very poor
3520,39.75,203.0,68.62,9.19,20.94,0.6,88.88,11.487499999999999,85.775,66.25,223.0,88.88,5.235,30.0,223.0,Poor
3521,30.85,240.0,47.29,11.57,44.18,0.47,63.1,14.4625,59.1125,51.41666666666667,260.0,63.1,11.045,23.5,260.0,Poor
3522,20.46,72.6,43.9,4.12,54.55,0.56,60.27,5.15,54.875,34.1,90.75,60.27,13.6375,28.000000000000004,90.75,Satisfactory
3523,22.15,63.98,44.46,5.91,50.54,0.54,70.96,7.3875,55.575,36.916666666666664,79.975,70.96,12.635,27.0,79.975,Satisfactory
3524,17.15,36.81,40.41,10.42,49.04,0.48,55.21,13.025,50.512499999999996,28.583333333333332,46.0125,55.21,12.26,24.0,55.21,Satisfactory
3525,40.4,89.77,49.36,5.79,44.72,0.67,68.3,7.2375,61.7,67.33333333333333,112.21249999999999,68.3,11.18,33.5,112.21249999999999,Moderately Polluted
3526,40.33,110.44,51.89,5.81,49.47,0.64,61.34,7.262499999999999,64.8625,67.21666666666667,130.44,61.34,12.3675,32.0,130.44,Moderately Polluted
